City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Presidencia Roque Saenz Pena,AR,93.36,few clouds,-26.7852,-60.4388,Hotel Gualok
195,Esperance,AU,66.04,clear sky,-33.8667,121.9,Hospitality Esperance
196,Fuyang,CN,31.95,overcast clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
197,Pori,FI,32.07,broken clouds,61.4833,21.7833,"Original Sokos Hotel Vaakuna, Pori"
199,Xuddur,SO,81.45,scattered clouds,4.1213,43.8894,Banjanay Hotel
201,Rockhampton,AU,73.29,overcast clouds,-23.3833,150.5,Mercure Rockhampton
202,Mount Isa,AU,74.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
203,Chitral,PK,34.9,light snow,35.8462,71.7858,PTDC Motel Chitral
204,Laguna,US,56.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
206,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
209,Pahrump,US,51.12,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
210,Guerrero Negro,MX,64.13,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
211,Raudeberg,NO,39.2,moderate rain,61.9875,5.1352,Nordre Silda.
213,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
214,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
215,Tomatlan,MX,84.79,broken clouds,19.9333,-105.25,El Salvial
216,Jiwani,PK,72.52,scattered clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
217,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
218,Viedma,AR,62.51,overcast clouds,-40.8135,-62.9967,Hotel Cristal
219,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
220,Kodiak,US,31.51,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
223,Alta Floresta,BR,91.22,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
224,Bilma,NE,65.23,clear sky,18.6853,12.9164,Expeditions Ténére voyages
225,Paraiso,CR,83.16,few clouds,9.8383,-83.8656,Hotel Rinconcito Verde
226,Charters Towers,AU,70.18,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
227,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
229,Maura,NO,37.06,clear sky,60.25,11.0167,Kringler guesthouse AS
230,East London,ZA,67.14,light intensity drizzle,-33.0153,27.9116,Tu Casa
231,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
232,Bluff,NZ,50.11,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
233,Ucluelet,CA,42.1,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
