City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Ranau,MY,5.9538,116.6641,72.25,97,99,1.83,overcast clouds
156,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,43,0,16.11,clear sky
157,Colesberg,ZA,-30.72,25.0972,76.42,28,25,7.63,scattered clouds
158,Ituiutaba,BR,-18.9689,-49.465,84.69,64,87,7.61,overcast clouds
159,Sibolga,ID,1.7427,98.7792,75.74,90,99,2.82,overcast clouds
160,Doha,QA,25.2867,51.5333,66.18,55,0,16.11,clear sky
161,Lorengau,PG,-2.0226,147.2712,80.35,80,40,8.79,scattered clouds
162,Lake In The Hills,US,42.1817,-88.3304,19.13,63,49,5.01,scattered clouds
163,Scarborough,GB,54.2797,-0.4044,48.52,83,100,7.0,light rain
164,Caravelas,BR,-17.7125,-39.2481,81.55,70,42,10.02,scattered clouds
165,Port Macquarie,AU,-31.4333,152.9167,62.56,72,95,12.91,overcast clouds
166,Uxbridge,US,42.0773,-71.6295,25.92,70,47,13.0,scattered clouds
167,Lompoc,US,34.6391,-120.4579,66.13,49,0,6.91,clear sky
168,Norman Wells,CA,65.282,-126.8329,-11.65,94,95,5.99,overcast clouds
169,Severodvinsk,RU,64.5635,39.8302,5.11,87,100,14.94,overcast clouds
170,Yauya,PE,-8.9833,-77.3,60.69,53,66,3.22,light rain
171,Amazar,RU,53.858,120.875,0.9,84,100,5.03,overcast clouds
172,Juneau,US,58.3019,-134.4197,39.85,94,100,11.5,snow
173,Walvis Bay,NA,-22.9575,14.5053,70.75,73,9,5.75,light rain
174,Bacalar,MX,18.6667,-88.3833,82.51,74,40,0.0,scattered clouds
175,Sharjah,AE,25.3573,55.4033,75.25,47,0,3.44,clear sky
176,Alamosa,US,37.4695,-105.87,31.66,85,0,0.0,clear sky
177,Kinkala,CG,-4.3614,14.7644,84.51,89,59,3.6,broken clouds
178,Port Moresby,PG,-9.4431,147.1797,74.62,94,0,9.22,clear sky
179,College,US,64.8569,-147.8028,1.35,77,75,3.44,broken clouds
180,Kralendijk,BQ,12.15,-68.2667,73.38,94,75,16.11,heavy intensity drizzle
181,Banda Aceh,ID,5.5577,95.3222,79.45,78,86,4.09,moderate rain
182,Gamboula,CF,4.1178,15.1393,78.91,18,90,1.16,overcast clouds
183,Dano,BF,11.15,-3.0667,88.97,9,21,4.21,few clouds
184,Mukhen,RU,48.1,136.1,-2.81,97,100,2.33,overcast clouds
185,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,80,85,24.16,overcast clouds
186,Metro,ID,-5.1131,105.3067,74.64,89,100,3.71,overcast clouds
187,Chapleau,CA,47.8405,-83.4034,5.09,43,100,8.05,overcast clouds
188,Bosaso,SO,11.2842,49.1816,75.15,66,91,1.16,overcast clouds
189,Vaitape,PF,-16.5167,-151.75,80.89,72,11,18.16,few clouds
190,Yangambi,CD,0.8102,24.4336,77.68,61,93,3.51,overcast clouds
191,Karpathos,GR,35.507,27.2132,58.96,72,40,14.97,scattered clouds
192,Piacabucu,BR,-10.4056,-36.4344,84.43,58,100,12.59,overcast clouds
193,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,93.36,29,13,8.52,few clouds
194,Tiksi,RU,71.6872,128.8694,-22.4,98,97,7.47,overcast clouds
195,Esperance,AU,-33.8667,121.9,66.04,70,2,17.92,clear sky
196,Fuyang,CN,32.9,115.8167,31.95,48,87,6.96,overcast clouds
197,Pori,FI,61.4833,21.7833,32.07,86,75,8.05,broken clouds
198,Kostomuksha,RU,64.571,30.5767,18.12,92,100,12.21,light snow
199,Xuddur,SO,4.1213,43.8894,81.45,17,44,8.57,scattered clouds
200,Valentin Gomez Farias,MX,28.2167,-106.5833,41.72,24,0,6.33,clear sky
201,Rockhampton,AU,-23.3833,150.5,73.29,60,100,10.36,overcast clouds
202,Mount Isa,AU,-20.7333,139.5,74.97,38,40,1.14,scattered clouds
203,Chitral,PK,35.8462,71.7858,34.9,70,92,2.42,light snow
204,Laguna,US,38.421,-121.4238,56.08,76,0,1.01,clear sky
205,Hovd,MN,48.0056,91.6419,-11.99,80,11,2.77,few clouds
206,Iquitos,PE,-3.7481,-73.2472,86.04,70,75,5.75,broken clouds
207,Wakkanai,JP,45.4094,141.6739,24.49,72,100,22.79,light snow
208,Massakory,TD,12.996,15.7293,74.3,13,4,10.71,clear sky
209,Pahrump,US,36.2083,-115.9839,51.12,23,0,3.22,clear sky
210,Guerrero Negro,MX,27.9769,-114.0611,64.13,26,0,2.91,clear sky
211,Raudeberg,NO,61.9875,5.1352,39.2,91,100,8.01,moderate rain
212,Igurubi,TZ,-4.0,33.7,66.33,89,96,3.76,light rain
213,Grand Gaube,MU,-20.0064,57.6608,80.38,80,100,10.0,overcast clouds
214,Cayenne,GF,4.9333,-52.3333,86.04,81,75,5.99,broken clouds
215,Tomatlan,MX,19.9333,-105.25,84.79,33,51,6.15,broken clouds
216,Jiwani,PK,25.05,61.7417,72.52,74,28,11.03,scattered clouds
217,Cap Malheureux,MU,-19.9842,57.6142,80.47,80,100,10.0,overcast clouds
218,Viedma,AR,-40.8135,-62.9967,62.51,50,100,17.2,overcast clouds
219,Avarua,CK,-21.2078,-159.775,78.85,83,40,6.91,scattered clouds
220,Kodiak,US,57.79,-152.4072,31.51,86,0,4.61,clear sky
221,Saskylakh,RU,71.9167,114.0833,-29.67,100,85,4.41,overcast clouds
222,Choya,RU,52.0108,86.5467,4.21,97,11,4.18,few clouds
223,Alta Floresta,BR,-9.8756,-56.0861,91.22,58,40,9.22,scattered clouds
224,Bilma,NE,18.6853,12.9164,65.23,17,0,4.94,clear sky
225,Paraiso,CR,9.8383,-83.8656,83.16,39,17,7.47,few clouds
226,Charters Towers,AU,-20.1,146.2667,70.18,79,25,7.27,scattered clouds
227,Yulara,AU,-25.2406,130.9889,67.84,52,0,5.75,clear sky
228,Kodinsk,RU,58.6881,99.1844,19.85,94,100,9.4,light snow
229,Maura,NO,60.25,11.0167,37.06,84,0,13.8,clear sky
230,East London,ZA,-33.0153,27.9116,67.14,94,75,9.22,light intensity drizzle
231,San Cristobal,VE,7.7669,-72.225,71.78,47,69,0.89,broken clouds
232,Bluff,NZ,-46.6,168.3333,50.11,81,36,8.3,scattered clouds
233,Ucluelet,CA,48.9329,-125.5528,42.1,93,100,1.97,overcast clouds
234,Kyabram,AU,-36.3167,145.05,65.88,52,37,9.48,scattered clouds
235,Mbanza-Ngungu,CD,-5.25,14.8667,69.89,89,17,1.99,light rain
236,Troitskoye,RU,52.9821,84.6757,2.73,93,31,4.76,scattered clouds
237,Zhigansk,RU,66.7697,123.3711,-29.52,100,100,6.38,overcast clouds
238,Altamira,BR,-3.2033,-52.2064,87.89,70,75,3.44,broken clouds
239,Kita,ML,13.0349,-9.4895,94.46,6,0,4.45,clear sky
240,Meadow Lake,US,34.8014,-106.5436,37.4,46,0,4.23,clear sky
241,Lehigh Acres,US,26.6254,-81.6248,82.44,71,100,1.99,overcast clouds
242,Limbang,MY,4.75,115.0,80.91,98,100,1.61,overcast clouds
243,Port Hardy,CA,50.6996,-127.4199,39.76,100,100,6.91,overcast clouds
244,Manali,IN,13.1667,80.2667,81.07,81,46,10.92,scattered clouds
245,Katherine,AU,-14.4667,132.2667,75.52,94,95,3.44,overcast clouds
246,Ures,MX,29.4333,-110.4,62.15,17,0,9.24,clear sky
247,Gravelbourg,CA,49.8834,-106.5512,28.67,90,90,11.05,overcast clouds
248,Hami,CN,42.8,93.45,27.01,27,95,14.36,overcast clouds
249,Valleyview,CA,55.0667,-117.2859,36.3,69,98,20.02,overcast clouds
250,Chokurdakh,RU,70.6333,147.9167,-32.15,100,100,1.86,overcast clouds
251,Mareeba,AU,-17.0,145.4333,72.32,95,100,2.86,overcast clouds
252,Puerto Baquerizo Moreno,EC,-0.9,-89.6,81.59,78,40,17.27,scattered clouds
253,Nantucket,US,41.2835,-70.0995,26.1,77,96,25.37,overcast clouds
254,Renqiu,CN,38.6989,116.0936,26.71,46,57,4.97,broken clouds
255,Hay River,CA,60.8156,-115.7999,-7.62,77,75,2.3,light snow
256,Huilong,CN,31.8111,121.655,39.04,65,41,8.9,scattered clouds
257,Nokaneng,BW,-19.6667,22.2667,72.01,77,86,4.05,light rain
258,Pujili,EC,-0.95,-78.6833,63.28,48,20,4.61,few clouds
259,Marginea,RO,47.8167,25.8167,36.07,85,100,8.55,overcast clouds
260,Kavaratti,IN,10.5669,72.642,78.84,61,40,10.54,scattered clouds
261,Tabou,CI,4.423,-7.3528,81.95,75,85,8.95,overcast clouds
262,Puerto Escondido,MX,15.85,-97.0667,83.23,69,0,4.61,clear sky
263,Billings,US,45.7833,-108.5007,46.17,40,40,28.77,scattered clouds
264,Yarada,IN,17.65,83.2667,71.92,83,20,2.3,haze
265,Quimper,FR,48.0,-4.1,50.68,87,0,8.05,clear sky
266,Katangli,RU,51.7102,143.2326,5.2,91,100,19.37,light snow
